Rvote,Dvote,Pvote,party,Ovote,SNSPA,Republican,Democrat,Rep or Dem,Independent,No Party,Other,male,vote,Cons.com,Share,Discuss,Brag,Fact Check,Campaign info on SNS,Discover who your friends voted for on SNS,Friend of candidate or political group on SNS,Post content related to a candidate or campaign,Join a political group on SNS,Start a political group on SNS,Get campaign info from Twitter,Follow on Twitter,Include politica links on Twitter,Follow election results on Twitter,View Affirming,View Neutral,View Disconfirming,How liberal,Ideological intensity ,age,educ,empl,hisp,black,inc,Use SNS,weight
NA,NA,NA,1,NA,0,0,1,1,0,0,0,1,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,6,3,0,0,0,5,0,1.08
1,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,6,0,0,0,6,0,1.92
NA,NA,NA,0,NA,NA,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,1,0,0,0,NA,0,4.32
NA,NA,NA,0,NA,NA,0,0,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,6,5,0,0,0,2,0,1.96
0,1,0,0,0,0,0,0,0,1,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,4,7,0,0,0,8,1,4.24
1,0,1,1,0,NA,1,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,7,3,0,0,0,1,0,4.24
1,0,1,1,0,0,1,0,1,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,1,0,0,1,3,6,5,0,0,0,4,1,3.24
NA,NA,NA,0,NA,NA,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,0,0,0,1,0,1.12
NA,NA,NA,0,NA,0,0,0,0,1,0,0,1,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,9,4,1,0,0,9,0,3.96
0,1,1,1,0,NA,0,1,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,8,3,0,0,0,4,0,5.72
